timestamp sum_req daily_proportion_reqs hourly_concurrent_users
1452686400.0 10955.0 0.0296181142278 764
1452690000.0 14702.0 0.039748563704 1025
1452693600.0 17648.0 0.0477134166948 1231
1452697200.0 18773.0 0.0507549847922 1309
1452700800.0 20936.0 0.0566029063873 1460
1452704400.0 20007.0 0.0540912470429 1395
1452708000.0 19086.0 0.0516012166272 1331
1452711600.0 20385.0 0.0551132139236 1421
1452715200.0 20307.0 0.0549023318689 1416
1452718800.0 18752.0 0.0506982088543 1308
1452722400.0 16940.0 0.0457992565056 1181
1452726000.0 14308.0 0.0386833389659 998
1452729600.0 12974.0 0.0328554678498 855
1452733200.0 10713.0 0.0271296922364 706
1452736800.0 10352.0 0.0262154927687 682
1452740400.0 10746.0 0.0272132617168 708
1452744000.0 10510.0 0.0266156133114 693
1452747600.0 11914.0 0.0301711148422 785
1452751200.0 12724.0 0.0322223657254 839
1452754800.0 13432.0 0.0340153109418 885
1452758400.0 13093.0 0.033156824461 863
1452762000.0 12405.0 0.0314145274146 818
1452765600.0 13882.0 0.0351548947658 915
1452769200.0 13280.0 0.0336303848501 875
1452772800.0 13294.0 0.0336658385691 876
1452776400.0 15722.0 0.0398145264016 1036
1452780000.0 21892.0 0.0554394868327 1443
1452783600.0 24965.0 0.0632215781463 1645
1452787200.0 24195.0 0.0612716236031 1595
1452790800.0 24324.0 0.0615983042993 1603
1452794400.0 22501.0 0.0569817236079 1483
1452798000.0 21730.0 0.0550292366561 1432
1452801600.0 21957.0 0.0556040933851 1447
1452805200.0 21881.0 0.0554116303393 1442
1452808800.0 22087.0 0.0559333064898 1456
1452812400.0 17915.0 0.0453680982372 1181
1452816000.0 14424.0 0.0389322248914 969
1452819600.0 13741.0 0.0370887203433 923
1452823200.0 12018.0 0.0324381224864 808
1452826800.0 11836.0 0.0319468811574 795
1452830400.0 12941.0 0.0349294177981 870
1452834000.0 12879.0 0.0347620718508 865
1452837600.0 12426.0 0.0335393667845 835
1452841200.0 12080.0 0.0326054684337 812
1452844800.0 12584.0 0.0339658290372 846
1452848400.0 12384.0 0.0334260034009 832
1452852000.0 14233.0 0.0384166914087 956
1452855600.0 13196.0 0.0356176954844 887
1452859200.0 13004.0 0.0350994628735 874
1452862800.0 14106.0 0.0380739021296 948
1452866400.0 16382.0 0.0442171178709 1101
1452870000.0 18734.0 0.050565467354 1259
1452873600.0 21032.0 0.0567680639154 1413
1452877200.0 21025.0 0.0567491700181 1413
1452880800.0 19449.0 0.0524953440039 1307
1452884400.0 19058.0 0.0514399848849 1281
1452888000.0 18863.0 0.0509136548895 1267
1452891600.0 17708.0 0.0477961618397 1190
1452895200.0 18472.0 0.0498582957705 1241
1452898800.0 14406.0 0.0388836405841 968
1452902400.0 12764.0 0.0398180672452 940
1452906000.0 12995.0 0.0405386856669 957
1452909600.0 9864.0 0.0307713424716 727
